region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
"Espírito Santo",2020-06-20,-55,-5,-73,-49,-10,12
"Espírito Santo",2020-06-21,-64,-19,-77,-59,-7,13
"Espírito Santo",2020-06-22,-42,-9,-66,-45,-17,14
"Espírito Santo",2020-06-23,-40,-7,-64,-44,-18,14
"Espírito Santo",2020-06-24,-43,-12,-62,-46,-21,15
"Espírito Santo",2020-06-25,-40,-3,-65,-43,-18,14
"Espírito Santo",2020-06-26,-43,5,-69,-41,-15,14
"Espírito Santo",2020-06-27,-55,-3,-72,-48,-11,12
"Espírito Santo",2020-06-28,-65,-18,-77,-59,-9,13
"Espírito Santo",2020-06-29,-50,-17,-73,-49,-27,17
"Espírito Santo",2020-06-30,-38,8,-63,-46,-16,13
"Espírito Santo",2020-07-01,-36,8,-59,-40,-16,13
"Espírito Santo",2020-07-02,-36,10,-62,-41,-17,14
"Espírito Santo",2020-07-03,-40,13,-69,-37,-15,14
"Espírito Santo",2020-07-04,-51,9,-72,-46,-9,12
"Espírito Santo",2020-07-05,-63,-11,-78,-55,-9,13
"Espírito Santo",2020-07-06,-34,7,-59,-38,-14,13
"Espírito Santo",2020-07-07,-31,12,-55,-36,-15,12
"Espírito Santo",2020-07-08,-34,9,-55,-38,-15,12
"Espírito Santo",2020-07-09,-35,8,-58,-36,-16,13
"Espírito Santo",2020-07-10,-37,14,-64,-34,-13,13
Goiás,2020-02-15,3,5,-7,4,8,0
Goiás,2020-02-16,1,2,-7,0,1,1
Goiás,2020-02-17,-4,-1,-6,2,18,0
Goiás,2020-02-18,-1,-2,-1,4,14,-1
Goiás,2020-02-19,-2,-4,-7,1,13,0
Goiás,2020-02-20,2,4,2,5,13,-1
Goiás,2020-02-21,2,9,2,5,16,-2
Goiás,2020-02-22,-3,6,19,-1,-1,0
Goiás,2020-02-23,1,6,54,-6,-4,0
Goiás,2020-02-24,-22,-8,45,-22,-48,10
Goiás,2020-02-25,-31,-24,41,-24,-63,10
Goiás,2020-02-26,-11,-10,-15,-12,-11,5
Goiás,2020-02-27,-7,-1,-8,-3,10,0
Goiás,2020-02-28,-7,3,-16,-5,15,1
Goiás,2020-02-29,-5,4,-23,-7,6,4
Goiás,2020-03-01,-2,7,-15,-6,3,4
Goiás,2020-03-02,-5,1,-12,0,18,0
Goiás,2020-03-03,0,2,-4,3,14,0
Goiás,2020-03-04,1,2,-6,2,14,-1
Goiás,2020-03-05,-1,4,-5,2,14,-1
Goiás,2020-03-06,3,11,-7,6,18,-2
Goiás,2020-03-07,8,14,-6,6,8,-1
Goiás,2020-03-08,11,12,0,3,5,0
Goiás,2020-03-09,2,6,-1,7,20,-2
Goiás,2020-03-10,4,6,3,8,16,-2
Goiás,2020-03-11,3,3,-4,4,15,-2
Goiás,2020-03-12,1,4,0,5,13,-1
